City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,35.11,100,100,4.61,US,1708989434
1,isafjordur,66.0755,-23.124,33.8,88,86,2.26,IS,1708989419
2,tazovsky,67.4667,78.7,17.89,93,68,12.39,RU,1708989443
3,forster,-32.1667,152.5167,80.29,70,89,2.66,AU,1708989463
4,bethel,41.3712,-73.414,46.63,66,42,1.01,US,1708989424
5,vanimo,-2.6741,141.3028,79.34,89,100,5.19,PG,1708989529
6,tura,25.5198,90.2201,58.66,42,100,3.04,IN,1708989442
7,cidreira,-30.1811,-50.2056,73.0,96,100,18.79,BR,1708989452
8,conception bay south,47.4999,-52.9981,26.92,95,100,5.48,CA,1708989529
9,albany,42.6001,-73.9662,44.44,60,61,1.99,US,1708989279
10,port-aux-francais,-49.35,70.2167,41.58,73,6,20.87,TF,1708989431
11,west island,-12.1568,96.8225,82.62,72,27,12.68,CC,1708989432
12,stanley,54.868,-1.6985,34.72,94,0,3.44,GB,1708989443
13,crane,31.3974,-102.3501,86.31,14,99,7.74,US,1708989430
14,new norfolk,-42.7826,147.0587,65.91,48,2,2.77,AU,1708989426
15,adamstown,-25.066,-130.1015,78.1,76,98,4.45,PN,1708989419
16,ebon,4.582,168.6964,82.67,79,88,12.86,MH,1708989530
17,olyokminsk,60.3736,120.4264,-23.03,100,96,1.12,RU,1708989530
18,tapejara,-28.0681,-52.0139,68.74,98,99,3.4,BR,1708989500
19,ipora,-16.4419,-51.1178,77.27,70,73,1.48,BR,1708989531
20,bilibino,68.0546,166.4372,-23.87,97,100,2.17,RU,1708989441
21,touros,-5.1989,-35.4608,80.69,81,52,9.37,BR,1708989472
22,bredy,52.4153,60.3411,6.98,86,5,5.73,RU,1708989531
23,nabire,-3.3667,135.4833,77.79,91,100,2.59,ID,1708989531
24,cururupu,-1.8283,-44.8683,74.7,98,99,2.84,BR,1708989531
25,iqaluit,63.7506,-68.5145,-11.47,70,40,6.91,CA,1708989422
